utc_time,target,duration_s,svk_hw,svk_fw,cu_hw,cu_fw
15:14:11,sip:0882390093392887@10.2.240.70,0.00,HW 1E,4.12.1,CU 2,1.32.16
15:14:29,sip:0882390093392887@10.2.240.70,0.00,HW 1E,4.12.1,CU 2,1.32.16
15:14:45,sip:0882390093392887@10.2.240.70,0.00,HW 1E,4.12.1,CU 2,1.32.16
15:15:44,sip:0882390093392887@10.2.240.70,0.00,HW 1E,4.12.1,CU 2,1.32.16
15:16:02,sip:0882390093392887@10.2.240.70,0.00,HW 1E,4.12.1,CU 2,1.32.16
15:18:30,sip:0882390093392887@10.2.240.70,0.00,HW 1E,4.12.1,CU 2,1.32.16
15:29:30,sip:0882390027214095@10.2.240.70,20.41,HW 1E,4.12.1,CU 2,1.32.16
15:31:36,sip:0882390027214095@10.2.240.70,0.00,HW 1E,4.12.1,CU 2,1.32.16
15:37:22,sip:0882390027214095@10.2.240.70,20.05,HW 1E,4.12.1,CU 2,1.32.16
15:38:23,sip:0882390027214095@10.2.240.70,20.38,HW 1E,4.12.1,CU 2,1.32.16
15:38:47,sip:0882390027214095@10.2.240.70,13.91,HW 1E,4.12.1,CU 2,1.32.16
15:39:10,sip:0882390027214095@10.2.240.70,20.38,HW 1E,4.12.1,CU 2,1.32.16
15:49:35,sip:0882390027214095@10.2.240.70,0.00,HW 1E,4.12.1,CU 2,1.32.16
15:50:48,sip:0882390027214095@10.2.240.70,20.06,HW 1E,4.12.1,CU 2,1.32.16
11:30:30,05906563183859,20.42,HW 1E,4.11.0,CU 2,1.32.16
11:31:22,05906563183859,20.38,HW 1E,4.11.0,CU 2,1.32.16
11:33:32,05906563183859,20.43,HW 1E,4.11.0,CU 2,1.32.16
11:34:23,05906563183859,20.39,HW 1E,4.11.0,CU 2,1.32.16
11:44:25,sip:05906563183859@10.2.240.70,20.48,HW 1E,4.11.0,CU 2,1.32.16
11:49:16,sip:05906563183859@10.2.240.70,20.43,HW 1E,4.11.0,CU 2,1.32.16
11:50:32,sip:05906563183859@10.2.240.70,20.46,HW 1E,4.11.0,CU 2,1.32.16
12:19:28,sip:05906563183859@10.2.240.70,20.44,HW 1E,4.11.0,CU 2,1.32.16
12:20:26,sip:05906563183859@10.2.240.70,20.47,HW 1E,4.11.0,CU 2,1.32.16
12:20:52,sip:05906563183859@10.2.240.70,20.46,HW 1E,4.11.0,CU 2,1.32.16
13:11:03,sip:05906563183859@10.2.240.70,20.42,HW 1E,4.11.0,CU 2,1.32.16
13:58:51,sip:05906563183859@10.2.240.70,20.43,HW 1E,4.11.0,CU 2,1.32.16
10:47:06,sip:0882390093394200@10.2.240.70,20.42,HW 1E,4.11.0,CU 2,1.32.16
10:49:44,sip:0882390093394200@10.2.240.70,124.78,HW 1E,4.11.0,CU 2,1.32.16
10:51:14,sip:0882390093394200@10.2.240.70,20.36,HW 1E,4.11.0,CU 2,1.32.16
10:51:39,sip:0882390093394200@10.2.240.70,20.41,HW 1E,4.11.0,CU 2,1.32.16
10:52:05,sip:0882390093394200@10.2.240.70,20.39,HW 1E,4.11.0,CU 2,1.32.16
10:52:30,sip:0882390093394200@10.2.240.70,20.48,HW 1E,4.11.0,CU 2,1.32.16
10:56:34,sip:0882390027214095@10.2.240.70,20.36,HW 1E,4.11.0,CU 2,1.32.16
10:57:06,sip:0882390027214095@10.2.240.70,20.53,HW 1E,4.11.0,CU 2,1.32.16
